"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"DAMIENWILLIAMS","RB","espn","Damien Williams","MIA",64,278,"0.3",0,0,0,0,0,1.1,4,0,0.5,3.7,0
"JOHNKUHN","RB","espn","John Kuhn","GB",65,279,"0.3",0,0,0,0,0,0.5,1.5,0,0.6,4.9,0
"TOBYGERHART","RB","espn","Toby Gerhart","JAC",66,280,"0.3",0,0,0,0,0,2.7,8.3,0,0.8,6.6,0
"ROYHELU","RB","espn","Roy Helu","OAK",67,281,"0.3",0,0,0,0,0,1.9,7.3,0,0.8,6.5,0
"BOBBYRAINEY","RB","espn","Bobby Rainey","TB",68,282,"0.3",0,0,0,0,0,0.1,0.5,0,0.2,2,0
"DRIARCHER","RB","espn","Dri Archer","PIT",69,283,"0.3",0,0,0,0,0,0.8,3,0,0.3,2.3,0
"NICKWILLIAMS","WR","espn","Nick Williams","ATL",94,284,"0.3",0,0,0,0,0,0,0,0,0.7,9.1,0.1
"JACOBYJONES","WR","espn","Jacoby Jones","SD",95,285,"0.3",0,0,0,0,0,0,0,0,0,0,0
"ANDREHOLMES","WR","espn","Andre Holmes","OAK",96,286,"0.3",0,0,0,0,0,0,0,0,0.7,8.7,0.1
"BRUCEELLINGTON","WR","espn","Bruce Ellington","SF",97,287,"0.3",0,0,0,0,0,0.1,0.8,0,0.2,2.4,0
"JUSTINPERILLO","TE","espn","Justin Perillo","GB",44,288,"0.3",0,0,0,0,0,0,0,0,0.4,4.8,0.1
"BRENTCELEK","TE","espn","Brent Celek","PHI",45,289,"0.3",0,0,0,0,0,0,0,0,0.7,7.9,0
"JIMDRAY","TE","espn","Jim Dray","CLE",46,290,"0.3",0,0,0,0,0,0,0,0,0.8,9,0
"JACKDOYLE","TE","espn","Jack Doyle","IND",47,291,"0.3",0,0,0,0,0,0,0,0,0.5,5.3,0
"MATTASIATA","RB","espn","Matt Asiata","MIN",70,292,"0.2",0,0,0,0,0,1.7,6.6,0,1,7.6,0
"DENARDROBINSON","RB","espn","Denard Robinson","JAC",71,293,"0.2",0,0,0,0,0,2,6.2,0,1.1,7.8,0
"AUSTINJOHNSON","RB","espn","Austin Johnson","NO",72,294,"0.2",0,0,0,0,0,0.5,1.7,0,0,0,0
"TERRONWARD","RB","espn","Terron Ward","ATL",73,295,"0.2",0,0,0,0,0,0.1,0.5,0,0.9,7.3,0
