"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"AJGREEN","WR","CIN","espn","A.J. Green",13,2015,9,10,17.45,17.45,18.19,0,0,0,0,0,0,0,0,0,5.2,80.5,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJMCCARRON","QB","CIN","average","AJ McCarron",14,2015,52,357,0.026,0.012,0.04,0.05,0.05,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJMCCARRON","QB","CIN","averageRobust","AJ McCarron",14,2015,52,357,0.026,0.012,0.04,0.05,0.05,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJMCCARRON","QB","CIN","averageWeighted","AJ McCarron",14,2015,52,357,0.026,0.012,0.04,0.05,0.05,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJMCCARRON","QB","CIN","cbs","AJ McCarron",14,2015,48,332,0.012,0.012,0.04,0,0,0,0.3,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJMCCARRON","QB","CIN","espn","AJ McCarron",14,2015,51,327,0.04,0.012,0.04,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXBAYER","TE","STL","average","Alex Bayer",15,2015,79,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXBAYER","TE","STL","averageRobust","Alex Bayer",15,2015,79,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXBAYER","TE","STL","averageWeighted","Alex Bayer",15,2015,79,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXBAYER","TE","STL","espn","Alex Bayer",15,2015,69,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXHENERY","K","FA","average","Alex Henery",16,2015,4,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXHENERY","K","FA","averageRobust","Alex Henery",16,2015,4,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXHENERY","K","FA","averageWeighted","Alex Henery",16,2015,4,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXHENERY","K","FA","espn","Alex Henery",16,2015,4,335,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","KC","average","Alex Smith",17,2015,57,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXSMITH","QB","KC","averageRobust","Alex Smith",17,2015,57,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXSMITH","QB","KC","averageWeighted","Alex Smith",17,2015,57,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
